journal,continuity,topic_focus,contradiction_integration,cognitive_clarity,narrative_closure,overall_entropy,reasoning
"New Job, New Chapter?
Getting a job can feel a bit like gambling. You can tick all the right boxes only to be told on your interview day that it's going to be difficult for them to choose. There is so much competition for the role, you're one of many who applied and you may be unsuccessful. I'm 38, not 18, so this isn't my first rodeo in the job arena and it all feels slightly patronising to have this explained to you as a grown woman with a wealth of job experience, and qualifications up the wazoo. That little document you sent in trying to ""sell"" yourself says as much. It takes a great deal of patience to not roll my eyes. Somehow interviews expose you, like a raw, painful, nerve where they like to pick and prod at you to see if you have what it takes to perform to their standards.
So not only do you have to have the skills, explain how they apply to the role and prove you are an upstanding company supporter. You have to market yourself as someone who won't stir the waters too much or speak up too often. They want someone who is pliable, who does the job and doesn't complain, someone they can stick in a position and forget about for the most part. That's exactly the kind of employee my local council is looking for, and that's exactly the person I presented to them during my interview. All for a basic cleaning position at a local primary school. Something to help plug the money gap as I struggle in trying to breathe life back into my art career. A ""dream"" that never quite took off after college or university as we prioritised the husbands career first. Something for another time.
But yes, whatever I presented at the interview was approved enough that I've landed a new position as ""Cleaner"" for the local council. Not the most glam of jobs, but at a couple of hours Monday through Friday each week and 24k+ annually, I can hardly complain. In theory I can put some pennies away whilst devoting most of my time figuring out where the hell I go with my art.",5,4,4,5,4,3,"The entry is highly coherent, with each sentence building logically from frustration about interviews to the specific outcome of getting the job. Topics are well-bounded, with only one brief deferred thread about the art career and husband’s career, and the writer integrates tension between dissatisfaction and pragmatism rather than leaving it as a confused contradiction. The ending provides a clear landing point by framing the job as a practical step while keeping future artistic uncertainty intentionally open."
"Cell phones have provided us with the opportunity to carry on some truly bizarre conversations.  In the old days the telephone was firmly anchored to the wall and only the telephone repairman fooled around with it. Then they came up with the little clip on phone lines and we started buying our own phones and plugging them in every room in the house. Then the portable phone came along and we took it all over the place with us. Who would have ever thought we would hear the question, “Where’s the phone?” but we ask it all the time these days. Because we are always laying it down someplace in the garage instead of back in the cradle where it belongs. And then the cell phone arrived.
Now practically everyone I know is carrying around a cell phone, these tiny, plastic packet like things that for some strange reason remind me of travel kleenex packages. They sing, vibrate, tweet and play classic tunes. (Beethoven would be embarrassed ) . Anyway, we have people making phone calls from entirely new places and thus having phone conversations never heard before.
As an example, I give you a conversation I had with my oldest son E. the other day. He was in Los Angeles, I in Sacramento.
Me:  Hello.
E. :  Hey mom, what’s up ?
Me:  Not much, I’m getting ready to go out and work in the garden before it
gets too hot.
E. :  (muffled noise) Mom, hold on a minute…  (barely audible) Ah, could I
Have a double order of Chicken Tenders, fries and a large Coke ?
Yeah, large Coke……no, I don’t want a Whopper, Chicken Tenders.
Right.
Me :  Where are you ?
E.   :   Burger King
Me :   This is weird listening to you order food.
E. :  So mom, did you hear the press conference by Rumsfeld this morning?
Me :  Yep, he was great ! I love to hear his one word answers. The reporters
never know what to say when answers with a simple yes, or no.
E. :    Yeah, he was so cool…. What ? … oh could I have barbecue sauce,
Thanks.
(Silence)
Me. :  Are you there ?
E.    :  Mom.
Me  :  What ?
E.  :    Never order a large Coke at Burger King.
Me  :  Why not ?
E.    :   This thing is HUGE !  This is a VAT of Coke !  It looks like the
barrel that a St. Bernard rescue dog would carry to revive people.
Geeze, how am I going to drink all this ?
Me :    (Laughing hysterically)
E.   :    Just a minute, (barely audible) Okay thanks… (to the checkout guy)
Okay mom, where were we? (exiting the drive through)
Me  :   Rumsfeld.
E. :  (Paper bag rattling in the background)
Silence…..
Me  :   What is it ?   Don’t tell me…..
E.    :   They gave me a Whopper.
Me  :   Laughing even more hysterically…. Are you going back ?
E.    :   No, I can’t I have to go to a meeting.  Geeze, a Whopper…
Me  :   (Cracking up)
E. :   Well, I just wanted to find out if you had heard Rumsfeld.
Me  :   Yes I did.   (wiping tears from my eyes)
E.    :   I have to get on the freeway now, I have to hang up.
Me  :  Okay, have a good day !
I gotta tell you, it’s going to be a long time before I get a cell phone.",5,5,5,5,5,1,"The entry is highly organized, moving clearly from a general reflection on phone technology to a specific anecdote that illustrates the point. Transitions are intentional, the dialogue is easy to follow despite interruptions being part of the story, and it ends with a concise closing remark that gives the narrative clear resolution. "
"I’m looking out my window. I like the desk here. The light is falling gently on my papers. There are prisms, if weak ones, moving on the desk pad from the very slight breeze blowing in the autumn afternoon.
The sky is beginning to haze over like a lazy eyelid and gives the impression that the indian summer is almost over. We await the first rain of the season. California can go a long while without a drink. Like a camel patient and slow.
There’s a bundle of broom corn that I grew in the garden this year tied to the front porch railing that’s hanging over like a messy hairdo in need of a good wash and set.
The sun is on its way down after a lazy days work, half strength compared to the full on blast of summer. I love the way the world looks in the fall. The angle of the sun is a photographer’s dream.  Why is the world so ugly at noon?
The willow tree out front is counting its leafy fingers gently in the breeze, proud of its explosion of growth. It was nothing but a twig last fall. Now it has grown into a real tree, if an airy fairy one. As tall as the house, he has reason to boast. One wonders how he will look a year from now !
Our bayberries are turning from dull orange to red, planning ahead for the winter fashion show in which they will play the chief color part.
There will be an early curtain call on the day this evening, as the sun is obscured by the bank of clouds that’s sneaking in the western door.  They always think I don’t notice them. Little do they know I have been watching for them all summer.",5,5,5,5,4,2,"The entry is highly coherent, moving through a unified observational scene with smooth transitions between related images of light, weather, plants, and seasonal change. Thoughts are well-formed and stylistically playful rather than fragmented, with no unresolved contradictions; the ending remains intentional and complete even without a strongly reflective resolution."
"The other day I went to the grocery store. One of the items on my list was jam. This seemed like a pretty straightforward errand, easily completed. Until I stood with my shopping cart in front of the jam section at my local Ralph’s.
This store was new to me and I was curious to see what they had, as I was in the mood to try something different . So I passed up the first jar of strawberry jam I saw and scanned the shelves for other choices. I quickly realized I was in deep trouble.
There were probably 10 or 12 different brands and each brand had about 5 or 6 kinds and each kind a sub-kind….etc. Jams with no sugar, jams without seeds, jams with seeds. Imported, domestic and mystery jams. Several sizes of jars and I had a choice between organic and chemical filled. Jams mixed with peanut butter. Jelly from Hungary, England and Spain. Marmalade, lemon curd, grape, current, cherry, pineapple, apricot, raspberry, strawberry, plum, mint, apple butter, apple jelly, peach, blackberry, loganberry, and boysenberry.  I felt myself breaking out in a cold sweat.
Then I started comparing prices !  I was paralyzed with indecision.
I became aware that I had been standing there with what was probably a particularly vacant look on my face. I grabbed a jar of strawberry, my usual brand even, and bolted for the checkout stand. I haven’t been down that aisle since, but my jar of strawberry is already getting low. . . I should have bought two of them, because now I am going to have to go back.
And I’m feeling like trying something different. . . .",5,5,4,5,4,2,"The entry maintains a clear, linear narrative from entering the store to facing the jam aisle, becoming overwhelmed, and leaving with a default choice. The topic remains tightly focused throughout, and the mild contradiction between avoiding the aisle and wanting to try something different is clearly expressed rather than disorganized. The ending is intentionally open-ended rather than abandoned."
"It makes sense that we might quite enjoy reading a diary of a
pioneer woman who braved the elements every day just to take care
of the  most basic of human needs. We might find it interesting
to see how she managed to survive a long cold winter cooped up
in a sod hut.
But what will it be like to read about a woman of 2002, 100
years from today ?  I wonder if the pioneer woman thought her
life extraordinary? But we are grateful that she wrote about her
life, because in so many ways it is very different from our own.
This is a difficult thing for me at least, to see my life in
any way as extraordinary. But what if I am wrong ?
I saw a program last night about Thomas Jefferson. The last
entry in his personal journal was a caluclation of how much
lamp oil had cost him for a month and how many hours of light
he had gotten from that quanity. Amazing.
But then, he was not constantly distracted by television,
radio, music at the push of a button... I often wonder what
American society would be like without the teletube....
So as an excersize I give you some mundane details of my day.
A homemaker in California (NOT Los Angeles, thank you very
much).
This morning at 7:30 my neighbor Diane and I went for our
daily walk. We were gone for an hour. Talked a blue streak and
felt refreshed. We had planned to go to the library today so
after breakfast we headed out in Diane's car. Stopped at the
bank where I deposited a $350. check from the sale
of a Jack Russel Terrier pup that we could not civilize to
accept our older dog and a passive cat that the pup mauled
unmercifully. Along with the 350.00 was a check for $10.00
that I got from my father because we bet on the World Series
and my Angels won :-) And another 228.00 that was my ""mad money""
from selling hand crafted gourds that I make and some baby
sitting I had done for my daughter in law.
Diane and I went to Wal-Mart to buy yarn (2.09) a skein
because her aunt from Maine is here visiting and is going to
teach Diane to crochet. We then went to the library where we
both picked out some more cookbooks. Diane has a web site where
she posts recipies once a week. I also got a book about
menopause because I think I am starting to have hot flashes !
Eeek ! We then headed over to Wal-Mart where I bought Black Cohosh, Evening Primrose Oil and
Ginko Biloba tablets that are supposed to help with the onset
of menopause.  I am starting with the Black Cohosh first I have
decided.  These were all priced reasonably at about
4 dollars a bottle.
Then we headed over to Mervyn's and I bought another down
lap blanket like one we already have because they were on sale
for 20.00 and my husband wanted another one.(He is wrapped up
in it right now on the couch.) I bought a country blue one.
We got home just after lunch time and I spent a quiet
afternoon. When my husband got home (we only have one car)
I drove over to yoga class and spent a lovely hour practicing
yoga.  I even did some research today about what would be
involved in getting a yoga instructor's certificate.  I found
very mixed results. If I am serious about it, I will need to
talk to some people who have done it and get some advise.
I thought it might be very nice to conduct yoga classes in
my home, just to make a little extra money.
I don't know, it does seem pretty ordinary doesn't it ?
But what do you think the average person's life will be like
in 2102 ?  Maybe all this running around will sound funny to
them. Maybe they will do everything from home. Shopping,
virtual classes, banking. Actually, all those things ARE
available now, but not everyone does them ALL the time.
Oh, I am rambling ....  excuse me.  I better go to bed.
Thomas Jefferson I am not......",4,4,5,4,4,3,"The entry maintains a clear through-line from reflecting on ordinary life as historical record to documenting the day's mundane details, then returning to that framing at the end. Topic shifts are intentional and well-signposted rather than fragmentary, and the writing remains mostly clear despite some conversational asides and mild rambling. There are no major unresolved contradictions; instead, the writer lightly integrates self-doubt about ordinariness into a coherent reflective frame."
"I read an article on Sunday about how many of our technological marvels are becoming so complex that people are beginning to balk at buying and or using them. It was like music to my ears, since I have been feeling like a curmudgeon, cum Luddite, and quite a bit out of touch with the latest gadgets. I have had this feeling for a few years now, that the technology was going to make some quantum leap and I would eyeball the chasm and opt out of the whole game. Right now I resist the cell phone and the palm pilot, ( even though if those geek types that create them would make a palm pilot bigger and a lot more attractive, more like a book , I might be tempted ). I do like learning how to use my own computer, and still get a kick out of creating documents with great graphics and sending emails with cool stationary and music attached. But honestly, I can see the font on the monitor, telling of the day when I officially join the curmudged Luddites in earnest. It wasn’t always this way. My boys grew up in the 70’s and 80’s, and I joined them in the wonder of the rise of the computer revolution. I remember slaving over middle son's Commondor 64, (the first computer in our household ) entering 150 lines of code to get a program that produced tones so I could tune my guitar. And we used to play this goofy Indiana Jones game for hours on end, and then when you actually got through all the levels, the ending payoff sequence would never work! Which precipitated our first call to tech support….. we never got through to a real person as I recall. We upgraded, struggled with learning how to install new software, which used to be quite an undertaking before the wizards and then, OH MY GOSH, youngest son started opening up the CPU and sticking things in slots……! While I looked on feeling like I was witnessing open heart surgery, and the only thing I could think of was, “Put the thing in and put that other thing back on or something really awful is going to happen !” The whole experience early on was much like solving complex puzzles, something humans have been enjoying for millennia. ( Who can describe their glee when you finally figured out how to use “copy” and “paste” in a document ?) But lately I am more than a bit disillusioned with the whole thing. It seems like in the last several years, the only thing about computers that is new, is that they are faster, and can store more stuff. But they still crash, lose your files, are hard to use, and there are many programs that “do not play well with others.” And now I come to the really weird and very hard to admit element in all of this….. pause for deep breath…. I think part of my disappointment with computers is that I sort of expect the computer to “interact” with me. Oy, there I have written it. With all the time I spend in front of the screen, doing all manner of reading and writing and searching and surfing and coaxing it to operate properly, my computer does not, well. . . . . know me. This may seem ridiculous to you, but in some obscure corner of my psyche with all this investment of time with this technological marvel, you think it might just take a moment to say “hi!”…. Of course I am not completely alone in my delusion. One time when oldest son had gotten a new computer…. ( I think it was a 486) he called me to tell me all the great things it could do, and concluded breathlessly…”Mom, it does everything but have sex with you!” ( Sorry dear, but I needed a real life example ) The idea that computers were going to make our lives easier has turned out to be a lie. They have made our lives more complex. They are frustrating to use. They suck up wallets full of money. They don’t have the answer to “Life, the Universe, and Everything” and frankly I suspect my computer doesn’t even like me. So if you don’t see me up on the latest software and running the latest pentium chip 5 years from now, you will know why. I am ready to start treating my computer like the monkey wrench that it is. And stop expecting it to ever say “good morning” unless forced to do so, by some obscure config.sys file in the bowels of the hard drive. See….. there I go again, computers don’t have bowels. Obviously I have a long way to go in my paradigm shift from geek to Luddite. At this point, I am going to make my callous and unfeeling computer print out this document on paper where it will be safe from digital mayhem. Then I am going outside and play…. among the real people. And who knows, maybe one of them will actually say , “Hi ! “",5,5,4,4,5,2,"The entry is highly coherent, staying centered on the writer’s evolving relationship with technology while moving through clear subtopics: current frustration, past enthusiasm, disappointment, and humorous acceptance. Apparent digressions are intentional anecdotes that support the main theme, and the piece ends with a strong, reflective closure; minor punctuation theatrics and parenthetical asides add personality but do not reduce overall organization."
"I’m tucked up in bed early with my book. It’s October and the days are getting shorter. Night has fallen and there’s a fine drizzle falling outside. I almost always sleep with my window open if just a little.  I am listening to the rain making plop, plop noises onto the matted leaves under the maple tree outside.
A small breeze is blowing chill air laden with the moist moldy smell that makes autumn the best time of the year.  What is contained in that smell that touches some primal place and urges us to shelter ourselves, store up food, and indulge in long convoluted story telling ?
I feel compelled to fry donuts, bake bread, make soup, start a quilt, knit a sweater, write a friend. All from breathing deeply of a chill autumn breeze.
Our harvesting is over and now we shall have time to gather our thoughts and think them more deeply and mayhap we shall become wise this winter.  The seeds of doubt that we may have planted in the spring have grown into great heaps of thoughts that must now be sorted out and understood. More lessons learned that must be distilled to sustain us in the slumber time of winter.
Every year, I am surprised by this fall phenomenon. It is as if winter, spring and summer erase my memory of this tender time of year out of sheer jealousy of it’s power. Somehow I wonder if that power is the secret that what seems like the ending is really the beginning.  A tantalizing thought, a conundrum worthy of a long debate with a good friend. But my eyes begin to droop from the long days’ work. I pull the covers up to my chin but refuse to close the window. I must breathe the air and fall under the spell before autumn turns to winter. Perhaps this time I will not forget… perhaps.",5,5,5,5,5,1,"The entry is highly coherent, moving smoothly from sensory description of the autumn evening into reflection on seasonal instinct, harvest, and the meaning of endings and beginnings. Each idea develops organically from the last, expression is clear and composed, and the piece ends with intentional reflective closure rather than trailing off."
"I ask you, is there anything on this planet as good as a hot
bath ?  A nice laze in the tub is among my chief joys in life.
Have you ever wondered about the first human to ever come upon a
hot spring that was temperate enough to get into?
I would be willing to chase away some pretty formidable dinosaurs
in order to have a good soak. They look like they have really
small brains most of them, hopefully one could dupe them in some
way or another to get them the heck out of your favorite pool.
Maybe a signed copy of ""Origin of Species"" thrown into a nearby
tree would do it.
Now I have never much admired the Romans. They seemed a generally
nasty lot. Pushy, arrogant, brutal. But you have to give them
some respect for knowing the value of a good hot bath. They went
to great lengths to construct them wherever they went.
I do some of my best thinking in the tub. Have imaginary
conversations, do complex life strategy analysis and generally
get the world squared away in about a half an hour. Can you say
that about any college course that's available today?
""30 minutes to a new attitude"" I don't think so.
I read a book just recently where the main character traveled
back in time. I was waiting throughout the whole book for this
dolt to figure out how to get a good bath thing going and teach
the locals all about the glories of hot water, but it wasn't on
the agenda. Drove me nuts.  :-)
I have decided that the only thing that would make my bathing
ritual complete is to get myself one of those yellow rubber
duckie things to float. I am a grown woman, and suspect I may
be doing some regression into childish things, but hey, what the
heck, no one will know but me right ?
Uh, wait a minute.....  :-)",4,4,5,4,4,3,"The entry stays tightly organized around a central theme of hot baths, with playful digressions to dinosaurs, Romans, and time travel that all connect back to bathing rather than fragmenting the narrative. Expression is clear and easy to follow, with only light conversational asides and humor; the ending lands as an intentional joke rather than an abandoned thought."
"Not long ago in my Kabbalah class, the Rabbi was explaining how
complicated our lives can seem and even though we might like
to be studying Torah, we have to make a living and be in the
marketplace and are busy raising a family, and all the other
things that humans have to do to survive. He then said, it's
all Meshugge,meshugge and maybe you get one hour of Torah.
He also was explaining the Kabbalistic concept that everything
we do in this world, has an effect in the other worlds.
This struck me as so profound and he put his finger on the way
I had been feeling that week that I went home and wrote a poem.
So the Meshugge phrase belongs to the Rabbi, the rest is me :-)
Meshugge in case you don't know is a Yiddish word that means
""crazy""  or ""confused""
Move one Stone
Meshugge, meshugge,
and one hour of Torah.
Sweat, tears, pain.
Joy, laughter, rain.
Move one stone,
change the universe.
Meshugge, meshugge,
and one hour of Torah.
Empty space, waiting, crying.
The exquisite pause before the. . .
Move one letter,
change the universe.
Meshugge, meshugge,
and one hour of Torah.
Anger, decay, death.
Enlightenment, bliss, breath.
Move one handful of water,
change the universe.
Meshugge, meshugge,
and one hour of Torah.
D'vorah Davida
2002",5,5,4,5,5,2,"The entry is highly organized: it sets up the Rabbi's teaching, explains its personal impact, and then presents a structured poem with deliberate repetition and thematic coherence. Contrasting elements like pain/joy and death/bliss are held together intentionally within a clear spiritual frame, and the piece ends with strong formal closure rather than trailing off."
"I just wanted to share one of my favorite links that I check on every day. It is the Bureau of Land Management Web site in Fairbanks Alaska. Since I live in a place that rarely if ever gets snow, I enjoy seeing it if even from a distance. You can check it out here:
Alaska
Let us see if my carefully coached html link works ! ( I have been carefully coached by my youngest son)  :-)
The current photo is at the very bottom of the page, and they have a wonderful archive of some truly amazing pictures including the aurora borealis.",5,5,5,5,4,2,"The entry stays tightly focused on a single topic and moves smoothly from introducing the website, to explaining personal interest, to giving directions about the link and photo archive. The thoughts are clearly expressed with no fragmentation or unresolved contradictions; closure is good though slightly informational rather than reflective."
