journal,continuity,topic_focus,contradiction_integration,cognitive_clarity,narrative_closure,overall_entropy,reasoning
"i know im being weird in the group chat i can see myself doing it while im doing it which is maybe worse? like im typing and deleting and typing again because i said i was fine but my chest is doing that stupid tight bird thing and i still have to open at 5. the milk order was wrong again today, or maybe i wrote it wrong no wait i definitely wrote 6 oat not 16 unless i did because my handwriting looked like spider legs and miguel gave me that look like not annoyed exactly but the customer with the extra hot no foam whatever kept staring while i remade it

also i need to text my landlord back. i keep not doing it because if i open the message then its real and the sink still does that cough-gurgle thing and i put a bowl under it like that fixes rent somehow. sorry im rambling. you asked if im okay and i was going to say yes just tired but then my hands started shaking when i counted the drawer and i had to do it twice and then i thought about my mom calling yesterday and i didnt call back because i knew she'd hear it in my voice. not hear it exactly just know

i bought bananas and forgot them at work. which feels important for some reason. like of course i did. of course. anyway i should sleep but i need to wash my apron and i cant find my charger and if i miss the alarm again i just",2,2,3,2,1,8,"The entry shows severe fragmentation with constant mid-thought breaks, stream-of-consciousness jumping between topics (group chat, work, landlord, mom, bananas), and literally ends mid-sentence. While there's some self-awareness of internal conflicts, the overall structure is highly disorganized with poor continuity and no resolution."
"2something am I think. kitchen light is too loud. I got the power bill open and the red letters like they are yelling and I already know okay I know. rent monday, phone thursday, who decided everything stacks up at once like plates in a sink. I was gonna make a list but then I poured another one and now the pen is somewhere, maybe in the fridge, no thats stupid but maybe not

car is dead again. not dead dead, just making that click click like a mouth with no words. I told Tommy to not borrow it if the gas light was on and he says he didnt, he says a lot. and Jen called crying about school money and I couldnt even hear half of it because the dog next door would not shut up and also my own head. funny how everybody needs 40 dollars right now exactly right now

I worked eight hours smiling at people buying candles and little fake pumpkins like the world is so cozy. my feet are killing me. I think I still have that ibuprofen bottle unless that was the vitamins. no wait the insurance thing. I still havent sent that form and if I dont then Maddies inhaler, jesus

there's spaghetti in the pot from earlier. or yesterday. I should call the mechanic in the morning if morning happens the way its supposed to because last week I said that too and then the bank thing and then Kevin with his excuse excuse excuse. I am tired of being the floor everybody drops their coats on. anyway the car. I need the car or I",2,2,5,2,1,8,"The entry shows severe fragmentation with thoughts breaking mid-sentence, topics bleeding into each other without clear boundaries, and multiple incomplete fragments throughout. The writing ends abruptly mid-thought and demonstrates high cognitive load with scattered attention across multiple stressors, creating a chaotic stream-of-consciousness structure."
"i am literally wiping my face on my apron because i cant find a clean towel and also because im still on my phone like yes im listening no im not okay hold on. today was just too much, the milk wand screaming, tickets piling up, daniel asking where the oat lids were when they have been in the same place for six months i swear to god. and this lady said ""smile honey"" and i almost did something stupid, not stupid just... i couldnt breathe right for a second

im 42 years old crying behind a pastry case over cinnamon scones and an unread text, thats humiliating. you said call me when you get off and then when i did it went straight to voicemail and now im doing this instead talking to you in here because if i actually say it out loud then i have to hear how it sounds. my hands smell like espresso and bleach. i hate bleach. no thats not the point

i keep thinking about rent and my son needing new shoes and how the fridge is making that clicking noise again, maybe its nothing maybe everything is expensive on purpose. someone dropped a whole cold brew toddy and it spread everywhere like a dark map and i just stared at it too long. manager asked if i was with him and i said yeah sure but i meant no not really not anywhere

anyway if you text back dont say calm down i am so tired of that i just needed one person to not make me feel like this for five minu",2,2,3,2,1,8,"The entry shows severe fragmentation with thoughts jumping abruptly between work stress, personal relationships, financial concerns, and sensory details without clear connections. Multiple sentence fragments, run-on thoughts, and the abrupt mid-sentence ending indicate high cognitive load and disorganization. The stream-of-consciousness style creates a chaotic flow that mirrors the writer's overwhelmed mental state."
"im literally so done with tonight. he keeps typing like ""calm down"" and then not answering the actual thing i said which was the point, the whole point, not the stupid tone. i was at work all day throwing boxes and my shoulder still hurts and he wants to act like im making stuff up because i didnt answer fast enough earlier?? i was on the floor not glued to my phone god

and now hes saying i ""always do this"" what is this even. getting mad when you lie? because you did, or no wait maybe not lie exactly but you said you were asleep and then your snap score moved so dont even start with the technicalities. i hate that word technicalities. sounds like the safety guy at work reading from that laminated card while the belt is screaming

also why is my room so hot. i opened the window and the neighbor's dog is doing that bark-bark-pause thing again. i cant think. he just texted ""wow"" okay wow what. use words. say the thing. every time i try to explain it turns into me being crazy or dramatic or ""doing too much"" which i wasnt until now actually now i am

i shouldnt have sent that last text maybe. no, he deserved it. unless he shows that to people which he would because hes like that. whatever. i still mean it i just maybe shouldve worded it different but if he had just",2,2,2,2,1,8,"The entry shows significant fragmentation with frequent mid-thought breaks, topic bleeding (argument details mixing with work pain, room temperature, neighbor's dog), and multiple unfinished sentences. The narrative abandons mid-thought at the end, and contradictory feelings about the text message are acknowledged but unresolved, creating a looping quality typical of high mental entropy."
"36 hours awake I think maybe 37 if the nap in the car doesnt count because it wasnt a nap I was just blinking too long. apartment is all boxes now except the mug with the chipped blue handle and he said thats mine actually which is so stupid to remember but I do. I keep taping things shut and then opening them again because where do chargers even belong, kitchen? no. obviously not. but then why was mine in the silverware drawer

I thought moving out would feel like a task list but it feels like getting erased in little strips of packing tape. also I still have class notes on the floor from last week, developmental psych, hilarious. development. sure. my professor emailed about attendance and I stared at it for ten minutes because what am I supposed to say hi sorry my life is in trash bags and also your quiz is probably under my ex's winter coat

I need to sleep but every time I sit down I remember something else. toothpaste. lease form. the plant on the windowsill that is somehow still alive which feels rude. and he was being nice this morning which was worse, honestly worse, asking if I wanted the lamp and I almost said I want last tuesday back but instead I took the lamp. dumb. maybe not dumb just

there is dust everywhere or maybe my eyes are grainy. I keep thinking I hear my phone buzz and it isnt him anyway I need to finish the bathroom and then the books and then",2,2,3,2,1,7,"The entry shows severe fragmentation with frequent mid-thought breaks, stream-of-consciousness jumps between topics (sleep deprivation, boxes, chargers, classes, ex-partner), and multiple incomplete sentences that trail off. While there's some emotional coherence around the moving experience, the structural organization is significantly compromised, likely reflecting the stated sleep deprivation and emotional stress."
"I am so sick of being talked over in my own kitchen like I am the visitor and he gets to stand there with that stupid calm voice, that voice is worse than yelling honestly. He kept saying I was ""making everything into an attack"" while he was literally doing that thing with his hands, like shooing me away almost, and then asking why I was upset. I hate that. I hate when people do that at the front desk too, smiling while being rude, same energy, same stupid little performance

I shouldnt have thrown the dish towel maybe but it was a dish towel not a knife not that he would ever let that part be small. now its going to be The Towel Incident for 6 months probably. He said I ""always escalate"" and maybe I do, no wait, I react after being poked and poked and then suddenly I'm the crazy one in the room, convenient

also who leaves one tablespoon of coffee in the canister and puts it back. who does that. I had to go to work half awake this morning and Mrs Delaney was already there complaining about her insurance card and I could still hear him saying wow okay wow like I'm some stray dog barking in traffic

I keep replaying the part where he said maybe you're just unhappy with your whole life and wanted to hit something. maybe I am unhappy with parts of it but dont hand me my own guts like that and call it honesty. and then he went to take a shower. a shower. while I'm standing there shaking and the smoke alarm chirped once again and I forgot batteries and I swear if he comes in here later acting normal I will",2,2,3,2,1,7,"The entry shows significant fragmentation with thoughts jumping between the kitchen argument, work interactions, coffee complaints, and emotional reactions without clear transitions. While there's an underlying coherent narrative about relationship conflict, the expression is highly scattered with run-on sentences, abrupt topic shifts, and the entry literally cuts off mid-sentence, showing high cognitive load and disorganization."
"The chairs in here are that fake blue vinyl and every time somebody shifts it makes that peel sound, I keep thinking theyre calling my name but its just coats and shoes and somebody coughing into their sleeve. I took the pill this morning because I was supposed to, doctor said stay ahead of it, but now my head feels packed with wool and I lost ten minutes staring at the fish tank even though there arent any fish in it, just the bubbler and one plastic plant leaning over.

They said the doctor would come talk to us soon which is what they say before something lands on your chest. I should have brought my sweater. No I did bring it, its under me. I keep folding the strap of my bag into a square then undoing it. There was a little boy with crackers earlier and now the whole room smells like peanut butter and sanitizer and old coffee.

I keep trying to remember if I turned off the porch light and why on earth that matters right now. because if we get home after dark or if we dont get home till - anyway. My phone says 2:17 for a long time like its stuck but thats me probably. I want to call my daughter but I dont want my voice sounding like this, all thick and sideways. The receptionist has pink nails. My husband said dont borrow trouble and then went quiet so long I thought he fell asleep sitting up.

Bad news has a hallway sound to it. Footsteps and paper and then",2,2,5,2,1,8,"The entry shows significant fragmentation with abrupt topic shifts (vinyl chairs to medication to fish tank to sweater confusion), frequent mid-thought breaks, and trails off incomplete with 'Footsteps and paper and then'. While this captures the authentic experience of anxiety in a medical waiting room, the structure reflects high cognitive load and disorganized thought patterns."
"2:07 or 2:17 whatever. i keep looking at the microwave clock like it owes me an explanation. he cheated. such a stupid clean little word for something that just took the walls off the house. i was folding her towels when i found it, because of course i was doing something for someone else, always wiping, lifting, reminding pills at 8, call the nurse, dont forget the rash cream, and he was apparently busy too wow

I cant even decide if im angry or just... gone weird in the middle. i poured whiskey in a coffee mug like that changes anything. the dishwasher is still open and I almost tripped over it, which honestly would fit. break a hip at 42 in my own kitchen because my partner couldnt keep his hands or lies or whatever to himself

he said it didnt mean anything and then why are my hands shaking so bad. no wait not shaking, buzzing. like when the fridge starts making that bad sound before it dies. everything in this house makes a noise and i hear all of it tonight. mom coughed twice down the hall and I thought for one second maybe she knows, which is insane, she's asleep, probably. I need to wash the sheets tomorrow. or burn them. no, those are expensive

i keep thinking of groceries. isnt that stupid. we need bread and denture tabs and i need a new life apparently. i should sleep but i dont want morning to happen because then it becomes a real thing and i have to",2,2,3,2,1,8,"The entry shows severe fragmentation with abrupt topic switches (microwave clock to cheating to caregiving to groceries) and frequent mid-thought breaks. While there's some emotional coherence around the betrayal theme, the cognitive load is high with sentence fragments, restarts, and the entry literally cuts off mid-sentence, showing significant mental disorganization during acute emotional distress."
"woke up with my heart already going too fast like i was late for something but its sunday and nothing even starts that early, mouth tastes like old beer and sugar and something burnt. i said i was only gonna have a few after work and then it turned into gas station crap and whatever was in the fridge and i dont even remember eating the chips but the bag is on the floor so. great

my stomach is doing that drop thing again. hate that. i keep thinking about monday because if im slow on site theyll notice, not that anybody says much but they look. you can tell. i was supposed to text my foreman back about the shift and i opened it and then somehow i was staring at my boots for like ten minutes because the mud dried weird on the laces

mom called last night i think? or maybe before i started drinking. i saw the missed call this morning and now i dont wanna call back because she hears it in my voice every time, like she knows even when i say no im good just tired. not tired exactly. wired and gross. i need water. i need to stop doing this on weekends because one bad night turns into my whole chest feeling wrong and then i start thinking about rent and the truck noise and that one time i almost fell off the scaffold, which was months ago so why is that back now

i should shower. and clean up. and text him. just gonna sit here for one sec then",2,2,3,2,1,7,"The entry shows significant fragmentation with abrupt topic shifts (hangover to work anxiety to mom to random memories), run-on sentences that lose their thread, and notably trails off mid-thought. While there's some thematic coherence around anxiety and avoidance, the expression is scattered and the narrative abandons itself at the end."
"3:07 and im awake again because of that stupid dream where i couldnt find her room and all the hallways kept bending wrong. I hate that feeling, like i know im supposed to be helping and instead im carrying towels or oranges or something useless and everybody is looking at me like why are you so slow. I got up to check the lock twice and the kettle wasnt even on but i still touched it because what if i did and forgot

I need sleep because morning meds at 7 and if i miss one thing the whole day goes crooked. not crooked exactly just slippery. I wrote the list already but then i rewrote it because i dont trust 2:40am handwriting apparently. also there is laundry still in the washer. if i leave it there it smells weird and she notices everything lately, every tiny sound too, the spoon in the sink, my shoes by the door, me breathing probably

my heart is doing that bird thing again. not pain just too much motion. maybe coffee was stupid but i only had one cup no wait two because the second one was mostly milk so does that count. I keep thinking i heard her call me but its the fridge making that click noise. and i need eggs tomorrow. why am i thinking about eggs right now

I should lie down. I should not lie down because then the dream comes back from the corner of it... anyway im tired enough i think maybe if i keep the lamp on a little longer and",2,2,3,2,1,8,"The entry shows severe fragmentation with abrupt topic shifts mid-sentence (dreams to locks to kettles to meds to laundry to eggs), poor continuity between thoughts, and ends completely mid-sentence. While there's some awareness of contradictory impulses (should/shouldn't lie down), the overall structure is highly disorganized with anxious, scattered thinking patterns typical of sleep-deprived rumination."
